year,month,bidding_no,vehicle_class,quota,bids_received,premium
2018,2018-03,1,Category B,1390,1731,39001
2018,2018-03,1,Category C,247,446,36003
2018,2018-03,1,Category D,528,885,8009
2018,2018-03,1,Category E,571,967,39000
2018,2018-03,2,Category A,1559,2117,38000
2018,2018-03,2,Category B,1402,1639,37010
2018,2018-03,2,Category C,247,378,35001
2018,2018-03,2,Category D,522,803,7602
2018,2018-03,2,Category E,571,977,38000
2018,2018-04,1,Category A,1566,1888,37000
2018,2018-04,1,Category B,1389,1689,37605
2018,2018-04,1,Category C,292,500,34001
2018,2018-04,1,Category D,516,953,7114
2018,2018-04,1,Category E,612,967,38039
2018,2018-04,2,Category A,1566,2027,38510
2018,2018-04,2,Category B,1417,1919,37330
2018,2018-04,2,Category C,260,461,34202
2018,2018-04,2,Category D,518,727,7115
2018,2018-04,2,Category E,573,1027,38389
2018,2018-05,1,Category A,1435,1836,38941
2018,2018-05,1,Category B,1280,2155,38501
2018,2018-05,1,Category C,308,611,33190
2018,2018-05,1,Category D,560,1171,7204
2018,2018-05,1,Category E,565,1008,38600
2018,2018-05,2,Category A,1434,1805,38001
2018,2018-05,2,Category B,1283,1915,37989
2018,2018-05,2,Category C,385,786,29901
2018,2018-05,2,Category D,529,898,7115
2018,2018-05,2,Category E,558,836,38700
2018,2018-06,1,Category A,1441,1696,36426
2018,2018-06,1,Category B,1293,1727,36000
2018,2018-06,1,Category C,425,685,29902
2018,2018-06,1,Category D,572,828,7001
2018,2018-06,1,Category E,559,927,37000
2018,2018-06,2,Category A,1446,1818,34110
2018,2018-06,2,Category B,1316,1729,33900
2018,2018-06,2,Category C,308,548,32001
2018,2018-06,2,Category D,527,771,6889
2018,2018-06,2,Category E,581,868,34400
2018,2018-07,1,Category A,1435,1626,25000
2018,2018-07,1,Category B,1288,1637,31000
2018,2018-07,1,Category C,313,535,31092
2018,2018-07,1,Category D,612,807,6514
2018,2018-07,1,Category E,591,975,31001
2018,2018-07,2,Category A,1443,3100,32699
2018,2018-07,2,Category B,1285,1919,32551
2018,2018-07,2,Category C,320,538,30889
2018,2018-07,2,Category D,537,772,6189
2018,2018-07,2,Category E,558,1082,32809
2018,2018-08,1,Category A,1672,3633,33798
2018,2018-08,1,Category B,1265,2132,34381
2018,2018-08,1,Category C,379,549,30389
2018,2018-08,1,Category D,845,1208,5514
2018,2018-08,1,Category E,536,896,33420
2018,2018-08,2,Category A,1695,2948,31997
2018,2018-08,2,Category B,1272,2031,32429
2018,2018-08,2,Category C,409,635,29902
2018,2018-08,2,Category D,824,1176,4889
2018,2018-08,2,Category E,527,927,32311
2018,2018-09,1,Category A,1664,2488,30209
2018,2018-09,1,Category B,1274,1959,32001
2018,2018-09,1,Category C,386,612,27001
2018,2018-09,1,Category D,874,1213,4390
2018,2018-09,1,Category E,540,1006,31801
2018,2018-09,2,Category A,1664,2059,28000
2018,2018-09,2,Category B,1278,1859,31307
2018,2018-09,2,Category C,542,921,27104
2018,2018-09,2,Category D,821,1098,4214
2018,2018-09,2,Category E,530,928,32000
2018,2018-10,1,Category A,1668,2059,28457
2018,2018-10,1,Category B,1271,1886,31301
2018,2018-10,1,Category C,342,522,28501
2018,2018-10,1,Category D,827,1140,4109
2018,2018-10,1,Category E,561,1066,32552
2018,2018-10,2,Category A,1674,1811,25556
2018,2018-10,2,Category B,1273,1856,31302
2018,2018-10,2,Category C,350,470,29501
2018,2018-10,2,Category D,819,1201,3951
2018,2018-10,2,Category E,539,779,32900
2018,2018-11,1,Category A,1819,1616,28199
2018,2018-11,1,Category B,1265,2142,32302
2018,2018-11,1,Category C,332,460,29501
2018,2018-11,1,Category D,1121,1543,2509
2018,2018-11,1,Category E,557,862,32000
2018,2018-11,2,Category A,1818,2231,25000
2018,2018-11,2,Category B,1241,1786,31101
2018,2018-11,2,Category C,331,580,27509
2018,2018-11,2,Category D,1103,1423,2989
2018,2018-11,2,Category E,552,930,30959
2018,2018-12,1,Category A,1878,2177,23568
2018,2018-12,1,Category B,1239,1780,31001
2018,2018-12,1,Category C,329,489,27009
2018,2018-12,1,Category D,1121,1483,3399
2018,2018-12,1,Category E,552,1021,30851
2018,2018-12,2,Category A,1890,2729,25501
2018,2018-12,2,Category B,1243,1804,31001
2018,2018-12,2,Category C,333,503,27001
2018,2018-12,2,Category D,1114,1375,3789
2018,2018-12,2,Category E,545,778,31809
2019,2019-01,1,Category A,1815,2707,25920
2019,2019-01,1,Category B,1245,1818,32200
2019,2019-01,1,Category C,330,472,27002
2019,2019-01,1,Category D,1112,1396,3610
2019,2019-01,1,Category E,546,776,32909
2019,2019-01,2,Category A,1818,2864,26170
2019,2019-01,2,Category B,1244,2119,33989
2019,2019-01,2,Category C,344,537,26230
2019,2019-01,2,Category D,1104,1473,2889
2019,2019-01,2,Category E,540,797,33689
2019,2019-02,1,Category A,1662,2371,25689
2019,2019-02,1,Category B,1202,1937,34509
2019,2019-02,1,Category C,326,466,26378
2019,2019-02,1,Category D,834,1164,3709
2019,2019-02,1,Category E,403,545,35310
2019,2019-02,2,Category A,1650,2261,26301
2019,2019-02,2,Category B,1214,1993,35403
2019,2019-02,2,Category C,306,433,26914
2019,2019-02,2,Category D,826,1100,3689
2019,2019-02,2,Category E,407,658,36667
2019,2019-03,1,Category A,1659,2213,26309
2019,2019-03,1,Category B,1233,1903,36961
2019,2019-03,1,Category C,306,443,27010
2019,2019-03,1,Category D,825,1175,3602
2019,2019-03,1,Category E,408,689,37620
2019,2019-03,2,Category A,1650,2204,26659
2019,2019-03,2,Category B,1201,1878,39401
2019,2019-03,2,Category C,304,411,27021
2019,2019-03,2,Category D,834,1039,3469
2019,2019-03,2,Category E,397,730,41000
2019,2019-04,1,Category A,1656,2338,29159
2019,2019-04,1,Category B,1202,1782,43102
2019,2019-04,1,Category C,309,431,27589
2019,2019-04,1,Category D,829,1193,3501
2019,2019-04,1,Category E,400,648,48209
2019,2019-04,2,Category A,1653,2249,33199
2019,2019-04,2,Category B,1205,1634,48000
2019,2019-04,2,Category C,304,560,32001
2019,2019-04,2,Category D,835,1129,3452
2019,2019-04,2,Category E,398,667,52410
2019,2019-05,1,Category A,1431,1988,36704
2019,2019-05,1,Category B,1139,1360,48010
2019,2019-05,1,Category C,394,610,28559
2019,2019-05,1,Category D,923,1154,3352
2019,2019-05,1,Category E,384,513,52502
2019,2019-05,2,Category A,1475,1799,27000
2019,2019-05,2,Category B,1163,1407,42564
2019,2019-05,2,Category C,409,600,27400
2019,2019-05,2,Category D,898,1193,3202
2019,2019-05,2,Category E,382,626,47000
2019,2019-06,1,Category A,1424,1902,30009
2019,2019-06,1,Category B,1139,1346,39728
2019,2019-06,1,Category C,389,535,25502
2019,2019-06,1,Category D,925,1149,3090
2019,2019-06,1,Category E,380,724,42002
2019,2019-06,2,Category A,1424,1742,26999
2019,2019-06,2,Category B,1141,1418,35906
2019,2019-06,2,Category C,393,607,25501
2019,2019-06,2,Category D,909,1187,3000
2019,2019-06,2,Category E,381,536,39400
2019,2019-07,1,Category A,1431,1795,28589
2019,2019-07,1,Category B,1141,1390,34000
2019,2019-07,1,Category C,390,649,25089
2019,2019-07,1,Category D,902,1141,3081
2019,2019-07,1,Category E,379,523,36901
2019,2019-07,2,Category A,1623,1902,26667
2019,2019-07,2,Category B,1143,1677,39406
2019,2019-07,2,Category C,393,657,24599
2019,2019-07,2,Category D,900,1193,3554
2019,2019-07,2,Category E,375,751,39889
2019,2019-08,1,Category A,1059,2023,32725
2019,2019-08,1,Category B,1047,1487,40001
2019,2019-08,1,Category C,292,492,27800
2019,2019-08,1,Category D,751,1040,4400
2019,2019-08,1,Category E,357,589,40512
2019,2019-08,2,Category A,1062,1725,31917
2019,2019-08,2,Category B,1045,1415,38602
2019,2019-08,2,Category C,283,446,26501
2019,2019-08,2,Category D,742,1010,4301
2019,2019-08,2,Category E,363,593,40002
2019,2019-09,1,Category A,1056,1656,31783
2019,2019-09,1,Category B,1046,1289,36001
2019,2019-09,1,Category C,302,446,25502
2019,2019-09,1,Category D,739,1086,4089
2019,2019-09,1,Category E,359,552,37912
2019,2019-09,2,Category A,1056,1453,31759
2019,2019-09,2,Category B,1044,1418,37000
2019,2019-09,2,Category C,283,544,25556
2019,2019-09,2,Category D,907,1197,3601
2019,2019-09,2,Category E,365,632,40000
2019,2019-10,1,Category A,1057,1659,34001
2019,2019-10,1,Category B,1048,1559,41361
2019,2019-10,1,Category C,286,522,26509
2019,2019-10,1,Category D,765,1036,3800
2019,2019-10,1,Category E,364,601,41001
2019,2019-10,2,Category A,1060,1467,32309
2019,2019-10,2,Category B,1044,1503,41805
2019,2019-10,2,Category C,284,439,26001
2019,2019-10,2,Category D,753,989,3889
2019,2019-10,2,Category E,369,506,42020
2019,2019-11,1,Category A,1043,1302,30000
2019,2019-11,1,Category B,1017,1296,40009
2019,2019-11,1,Category C,318,440,25392
2019,2019-11,1,Category D,693,831,1
2019,2019-11,1,Category E,383,587,40101
2019,2019-11,2,Category A,1023,1468,32000
2019,2019-11,2,Category B,1019,1331,39700
2019,2019-11,2,Category C,322,495,24502
2019,2019-11,2,Category D,698,974,3921
2019,2019-11,2,Category E,390,540,40889
2019,2019-12,1,Category A,1030,1386,33009
2019,2019-12,1,Category B,1013,1265,37900
2019,2019-12,1,Category C,318,402,23704
2019,2019-12,1,Category D,693,908,3789
2019,2019-12,1,Category E,384,518,38889
2019,2019-12,2,Category A,1029,1256,32889
2019,2019-12,2,Category B,1015,1251,36000
2019,2019-12,2,Category C,318,441,23200
2019,2019-12,2,Category D,697,850,3658
2019,2019-12,2,Category E,384,496,37989
2020,2020-01,1,Category A,1035,1450,35320
2020,2020-01,1,Category B,1022,1229,37109
2020,2020-01,1,Category C,321,457,24402
2020,2020-01,1,Category D,707,1084,3989
2020,2020-01,1,Category E,384,541,38000
2020,2020-01,2,Category A,1034,1390,35010
2020,2020-01,2,Category B,1012,1157,37705
2020,2020-01,2,Category C,329,504,25001
2020,2020-01,2,Category D,693,936,4610
2020,2020-01,2,Category E,388,528,37500
2020,2020-02,1,Category A,982,1204,30010
2020,2020-02,1,Category B,984,1173,30890
2020,2020-02,1,Category C,314,504,25013
2020,2020-02,1,Category D,578,821,4401
2020,2020-02,1,Category E,335,525,34900
2020,2020-02,2,Category A,982,1564,32999
2020,2020-02,2,Category B,987,1459,32889
2020,2020-02,2,Category C,352,561,25001
2020,2020-02,2,Category D,577,729,4309
2020,2020-02,2,Category E,328,550,33301
2020,2020-03,1,Category A,978,1436,32699
2020,2020-03,1,Category B,987,1347,32801
2020,2020-03,1,Category C,315,504,24202
2020,2020-03,1,Category D,593,785,4310
2020,2020-03,1,Category E,333,512,32500
2020,2020-03,2,Category A,982,1421,31210
2020,2020-03,2,Category B,992,1366,30012
2020,2020-03,2,Category C,448,708,22002
2020,2020-03,2,Category D,581,757,4489
2020,2020-03,2,Category E,331,503,32500
2020,2020-07,1,Category A,1289,3061,33520
2020,2020-07,1,Category B,1291,3160,35889
2020,2020-07,1,Category C,489,866,24502
2020,2020-07,1,Category D,869,1611,7702
2020,2020-07,1,Category E,444,937,34989
2020,2020-07,2,Category A,1304,2485,32699
2020,2020-07,2,Category B,1339,2497,35001
2020,2020-07,2,Category C,489,759,23888
2020,2020-07,2,Category D,869,1355,6510
2020,2020-07,2,Category E,448,714,35001
2020,2020-08,1,Category A,1022,2047,33000
2020,2020-08,1,Category B,932,1985,37102
2020,2020-08,1,Category C,358,658,24100
2020,2020-08,1,Category D,503,720,7701
2020,2020-08,1,Category E,472,784,36502
2020,2020-08,2,Category A,1034,2099,35710
2020,2020-08,2,Category B,923,1727,38802
2020,2020-08,2,Category C,357,586,25006
2020,2020-08,2,Category D,495,797,7432
2020,2020-08,2,Category E,474,764,38110
2020,2020-09,1,Category A,1035,1737,37766
2020,2020-09,1,Category B,904,1715,41510
2020,2020-09,1,Category C,354,525,26644
2020,2020-09,1,Category D,496,691,7399
2020,2020-09,1,Category E,470,672,40790
2020,2020-09,2,Category A,1034,1540,38504
2020,2020-09,2,Category B,912,1497,40989
2020,2020-09,2,Category C,351,591,28589
2020,2020-09,2,Category D,494,642,7331
2020,2020-09,2,Category E,471,671,41001
2020,2020-10,1,Category A,912,1272,36534
2020,2020-10,1,Category B,805,1218,40690
2020,2020-10,1,Category C,316,587,33089
2020,2020-10,1,Category D,429,677,7451
2020,2020-10,1,Category E,427,688,40301
2020,2020-10,2,Category A,916,1323,37334
2020,2020-10,2,Category B,793,1272,40990
2020,2020-10,2,Category C,316,538,33778
2020,2020-10,2,Category D,423,560,7300
2020,2020-10,2,Category E,430,672,39889
2020,2020-11,1,Category A,967,1262,35990
2020,2020-11,1,Category B,1013,1415,39000
2020,2020-11,1,Category C,370,558,31502
2020,2020-11,1,Category D,533,727,7251
2020,2020-11,1,Category E,464,683,39500
2020,2020-11,2,Category A,972,1361,37690
2020,2020-11,2,Category B,1007,1559,41101
2020,2020-11,2,Category C,369,597,30334
2020,2020-11,2,Category D,537,679,7300
2020,2020-11,2,Category E,520,803,41503
2020,2020-12,1,Category A,978,1620,40714
2020,2020-12,1,Category B,1035,1712,45012
2020,2020-12,1,Category C,368,599,32889
2020,2020-12,1,Category D,526,767,7670
2020,2020-12,1,Category E,464,722,45510
2020,2020-12,2,Category A,969,1403,40556
2020,2020-12,2,Category B,1009,1631,49300
2020,2020-12,2,Category C,369,640,35201
2020,2020-12,2,Category D,530,710,7689
2020,2020-12,2,Category E,471,688,49500
2021,2021-01,1,Category A,-963,1280,40609
2021,2021-01,1,Category B,1023,1396,49001
2021,2021-01,1,Category C,372,679,35900
2021,2021-01,1,Category D,529,692,7501
2021,2021-01,1,Category E,467,758,49489
2021,2021-01,2,Category A,966,1309,43501
2021,2021-01,2,Category B,1018,1338,50100
2021,2021-01,2,Category C,381,671,40999
2021,2021-01,2,Category D,548,706,7589
2021,2021-01,2,Category E,466,705,51900
2021,2021-02,1,Category A,885,1098,42000
2021,2021-02,1,Category B,943,1107,46790
2021,2021-02,1,Category C,276,510,45001
2021,2021-02,1,Category D,572,705,7506
2021,2021-02,1,Category E,300,435,49778
2021,2021-02,2,Category A,903,1226,41001
2021,2021-02,2,Category B,942,1168,46002
2021,2021-02,2,Category C,259,424,40890
2021,2021-02,2,Category D,554,715,7500
2021,2021-02,2,Category E,304,503,47506
2021,2021-03,1,Category A,887,1175,41996
2021,2021-03,1,Category B,942,1121,45001
2021,2021-03,1,Category C,255,480,37513
2021,2021-03,1,Category D,542,707,7752
2021,2021-03,1,Category E,296,450,47001
2021,2021-03,2,Category A,886,1186,44589
2021,2021-03,2,Category B,946,1222,47001
2021,2021-03,2,Category C,292,507,39589
2021,2021-03,2,Category D,542,700,7791
2021,2021-03,2,Category E,298,430,47806
2021,2021-04,1,Category A,883,1212,45600
2021,2021-04,1,Category B,958,1524,52309
2021,2021-04,1,Category C,263,488,36134
2021,2021-04,1,Category D,560,735,8000
2021,2021-04,1,Category E,296,635,52200
2021,2021-04,2,Category A,890,1290,49640
2021,2021-04,2,Category B,956,1585,61190
2021,2021-04,2,Category C,262,441,44001
2021,2021-04,2,Category D,546,734,8000
2021,2021-04,2,Category E,303,633,62100
2021,2021-05,1,Category A,832,1100,48002
2021,2021-05,1,Category B,819,1244,60001
2021,2021-05,1,Category C,157,261,43001
2021,2021-05,1,Category D,650,901,8011
2021,2021-05,1,Category E,268,387,63002
2021,2021-05,2,Category A,835,1209,41801
2021,2021-05,2,Category B,817,1089,58089
2021,2021-05,2,Category C,164,315,41701
2021,2021-05,2,Category D,628,904,8701
2021,2021-05,2,Category E,266,400,62000
2021,2021-06,1,Category A,858,1439,48510
2021,2021-06,1,Category B,815,1107,60109
2021,2021-06,1,Category C,195,413,37002
2021,2021-06,1,Category D,626,776,8703
2021,2021-06,1,Category E,259,331,61112
2021,2021-06,2,Category A,830,1178,47821
2021,2021-06,2,Category B,809,983,56032
2021,2021-06,2,Category C,238,478,37000
2021,2021-06,2,Category D,618,864,8501
2021,2021-06,2,Category E,265,519,58001
2021,2021-07,1,Category A,867,1149,45001
2021,2021-07,1,Category B,840,1087,56100
2021,2021-07,1,Category C,162,340,38900
2021,2021-07,1,Category D,616,760,8502
2021,2021-07,1,Category E,259,416,57700
2021,2021-07,2,Category A,836,1240,47010
2021,2021-07,2,Category B,819,1107,59501
2021,2021-07,2,Category C,166,337,39523
2021,2021-07,2,Category D,655,863,8689
2021,2021-07,2,Category E,267,408,60001
2021,2021-08,1,Category A,805,1021,45189
2021,2021-08,1,Category B,771,980,56001
2021,2021-08,1,Category C,118,233,42589
2021,2021-08,1,Category D,449,667,8899
2021,2021-08,1,Category E,199,288,59599
2021,2021-08,2,Category A,806,1127,46689
2021,2021-08,2,Category B,794,1065,61001
2021,2021-08,2,Category C,118,220,40010
2021,2021-08,2,Category D,451,635,9500
2021,2021-08,2,Category E,198,408,64901
2021,2021-09,1,Category A,804,1124,47000
2021,2021-09,1,Category B,791,1080,62600
2021,2021-09,1,Category C,122,211,40001
2021,2021-09,1,Category D,445,562,9689
2021,2021-09,1,Category E,206,319,64700
2021,2021-09,2,Category A,803,1040,48000
2021,2021-09,2,Category B,772,1189,68310
2021,2021-09,2,Category C,120,203,39000
2021,2021-09,2,Category D,449,658,9089
2021,2021-09,2,Category E,198,400,70002
2021,2021-10,1,Category A,816,1077,47001
2021,2021-10,1,Category B,774,1130,70200
2021,2021-10,1,Category C,125,233,38890
2021,2021-10,1,Category D,444,633,9052
2021,2021-10,1,Category E,214,442,72756
2021,2021-10,2,Category A,811,1304,52709
2021,2021-10,2,Category B,774,1240,80210
2021,2021-10,2,Category C,126,252,40501
2021,2021-10,2,Category D,450,597,9310
2021,2021-10,2,Category E,210,391,85000
2021,2021-11,1,Category A,536,834,53709
2021,2021-11,1,Category B,587,839,82801
2021,2021-11,1,Category C,92,173,42001
2021,2021-11,1,Category D,417,543,9381
2021,2021-11,1,Category E,159,257,88000
2021,2021-11,2,Category A,537,706,55001
2021,2021-11,2,Category B,594,797,79601
2021,2021-11,2,Category C,91,164,43502
2021,2021-11,2,Category D,412,557,9381
2021,2021-11,2,Category E,164,253,86001
2021,2021-12,1,Category A,536,771,57010
2021,2021-12,1,Category B,593,822,80401
2021,2021-12,1,Category C,93,147,45000
2021,2021-12,1,Category D,420,584,9401
2021,2021-12,1,Category E,149,245,85000
2021,2021-12,2,Category A,534,740,58801
2021,2021-12,2,Category B,595,829,80989
2021,2021-12,2,Category C,90,150,44000
2021,2021-12,2,Category D,426,562,9601
2021,2021-12,2,Category E,177,241,83889
2022,2022-01,1,Category A,543,760,57599
2022,2022-01,1,Category B,587,712,77700
2022,2022-01,1,Category C,90,198,42200
2022,2022-01,1,Category D,431,573,9689
2022,2022-01,1,Category E,149,193,82501
2022,2022-01,2,Category A,531,711,57898
2022,2022-01,2,Category B,592,907,82001
2022,2022-01,2,Category C,91,149,43001
2022,2022-01,2,Category D,416,520,10000
2022,2022-01,2,Category E,145,226,83911
2022,2022-02,1,Category A,542,819,60761
2022,2022-02,1,Category B,550,865,86102
2022,2022-02,1,Category C,80,149,44001
2022,2022-02,1,Category D,406,555,10010
2022,2022-02,1,Category E,180,269,87000
2022,2022-02,2,Category A,536,876,63000
2022,2022-02,2,Category B,559,939,93590
2022,2022-02,2,Category C,76,194,46501
2022,2022-02,2,Category D,420,521,10589
2022,2022-02,2,Category E,180,300,93102
2022,2022-03,1,Category A,531,962,68501
2022,2022-03,1,Category B,551,860,94889
2022,2022-03,1,Category C,76,199,48889
2022,2022-03,1,Category D,405,602,11400
2022,2022-03,1,Category E,190,318,98890
2022,2022-03,2,Category A,543,849,71556
2022,2022-03,2,Category B,555,824,98889
2022,2022-03,2,Category C,91,166,51504
2022,2022-03,2,Category D,409,575,10501
2022,2022-03,2,Category E,180,344,99010
2022,2022-03,3,Category A,560,911,34522
2022,2022-04,1,Category A,536,723,72996
2022,2022-04,1,Category B,550,708,98389
2022,2022-04,1,Category C,85,210,54901
2022,2022-04,1,Category D,407,561,10503
2022,2022-04,1,Category E,180,290,99999
2022,2022-04,2,Category A,532,744,68699
2022,2022-04,2,Category B,560,687,90002
2022,2022-04,2,Category C,76,181,52002
2022,2022-04,2,Category D,404,539,9801
2022,2022-04,2,Category E,184,295,95801
2022,2022-05,1,Category A,612,804,70901
2022,2022-05,1,Category B,527,699,92090
2022,2022-05,1,Category C,104,184,50890
2022,2022-05,1,Category D,563,773,9489
2022,2022-05,1,Category E,195,283,91112
2022,2022-05,2,Category A,625,819,68001
2022,2022-05,2,Category B,528,709,95889
2022,2022-05,2,Category C,103,220,51501
2022,2022-05,2,Category D,609,899,9490
2022,2022-05,2,Category E,191,309,95901
2022,2022-06,1,Category A,612,874,73801
2022,2022-06,1,Category B,528,851,100684
2022,2022-06,1,Category C,107,203,53002
2022,2022-06,1,Category D,563,859,10000
2022,2022-06,1,Category E,190,316,100697
2022,2022-06,2,Category A,614,850,74989
2022,2022-06,2,Category B,531,822,106001
2022,2022-06,2,Category C,103,224,53011
2022,2022-06,2,Category D,570,717,10302
2022,2022-06,2,Category E,194,276,104400
